Date;Name;Type;Open_price;Value;Close price;Reasons;Step;Step price;Delta;Total
07.06.2022;BR 7.22;шорт;122,40;1;122,55;stop;0,01;5,76;-86,39;163504,33
08.06.2022;BR 7.22;шорт;122,50;1;121,60;take;0,01;5,76;518,34;164022,67
09.06.2022;BR 7.22;шорт;123,60;1;123,13;take;0,01;5,76;270,69;164293,36
09.06.2022;BR 7.22;лонг;123,45;1;123,81;take;0,01;5,76;207,33;164500,69
14.06.2022;BR 7.22;шорт;121,30;1;124,60;stop;0,01;5,68;-1872,75;162627,94
15.06.2022;GD 9.22;лонг;1833,00;1;1842,20;take;0,1;5,68;522,1;163150,04
15.06.2022;BR 7.22;лонг;121,27;1;120,90;stop;0,01;5,68;-209,97;162940,07
16.06.2022;BR 7.22;шорт;120,90;1;120,99;stop;0,01;5,68;-51,07;162889
16.06.2022;BR 7.22;шорт;120,75;1;120,18;hans;0,01;5,68;323,47;163212,47
16.06.2022;BR 7.22;лонг;118,55;1;118,08;stop;0,01;5,75;-270,48;162941,99
16.06.2022;BR 7.22;лонг;118,25;1;120,03;take;0,01;5,75;1024,35;163966,34
17.06.2022;BR 7.22;шорт;121,40;1;121,81;stop;0,01;5,75;-235,95;163730,39
17.06.2022;BR 7.22;лонг;119,23;1;118,88;stop;0,01;5,75;-201,42;163528,97
17.06.2022;GD 9.22;лонг;1836,00;1;1836,40;stop;0,1;5,68;22,7;163551,67
17.06.2022;GD 9.22;шорт;1836,40;1;1837,90;hans;0,1;5,68;-85,13;163466,54
20.06.2022;GD 9.22;шорт;1830,30;1;1821,60;hans;0,1;5,68;493,73;163960,27
20.06.2022;GD 9.22;шорт;1829,10;1;1821,60;hans;0,1;5,68;425,63;164385,9
21.06.2022;GD 9.22;лонг;1818,90;1;1822,30;hans;0,1;5,58;189,83;164575,73
21.06.2022;BR 7.22;лонг;116,60;1;115,87;stop;0,01;5,58;-407,57;164168,16
22.06.2022;GD 9.22;шорт;1813,30;2;1815,10;hans;0,1;5,68;-204,3;163963,86
22.06.2022;BR 7.22;лонг;112,62;1;110,50;stop;0,01;5,58;-1183,64;162780,22
22.06.2022;RTSM 9.22;шорт;1257,50;3;1269,00;stop;0,5;5,31;-366,17;162414,05
27.06.2022;RTSM 9.22;шорт;1269,00;3;1269,50;stop;0,5;5,31;-15,92;162398,13
28.06.2022;RTSM 9.22;шорт;1300,00;1;1312,00;stop;0,5;5,31;-127,36;162270,77
28.06.2022;RTSM 9.22;шорт;1303,00;1;1312,00;stop;0,5;5,31;-95,52;162175,25
29.06.2022;RTSM 9.22;шорт;1368,00;1;1330,50;take;0,5;5,31;398,01;162573,26
29.06.2022;GD 9.22;шорт;1843,00;1;1814,20;hans;0,1;5,68;1634,4;164207,66
29.06.2022;SI 9.22;лонг;54210,00;1;57026,00;hans;1;1;2816;167023,66
29.06.2022;RTSM 9.22;шорт;1218,50;1;1220,50;hans;0,5;5,31;-21,23;167002,43
29.06.2022;RTSM 9.22;шорт;1221,00;1;1220,50;hans;0,5;5,31;5,31;167007,74
05.07.2022;SI 9.22;шорт;62500,00;1;63619,00;stop;1;1;-1119;165888,74
05.07.2022;SI 9.22;шорт;62700,00;1;63619,00;stop;1;1;-919;164969,74
05.07.2022;SI 9.22;шорт;62920,00;1;63619,00;stop;1;1;-699;164270,74
06.07.2022;SI 9.22;шорт;65250,00;1;63563,00;hans;1;1;1687;165957,74
06.07.2022;BR 8.22;лонг;104,85;1;103,70;stop;0,01;5,58;-642,07;165315,67
06.07.2022;SI 9.22;лонг;63563,00;1;63635,00;hans;1;1;72;165387,67
06.07.2022;SI 9.22;шорт;63750,00;1;63986,00;hans;1;1;-236;165151,67
06.07.2022;GD 9.22;лонг;1773,00;1;1778,20;stop;0,1;5,68;295,1;165446,77
06.07.2022;SI 9.22;шорт;64320,00;1;63986,00;hans;1;1;334;165780,77
06.07.2022;SI 9.22;шорт;64570,00;1;63986,00;hans;1;1;584;166364,77
06.07.2022;RTSM 9.22;шорт;1120,50;1;1092,00;hans;0,5;6,3;359,28;166724,05
06.07.2022;RTSM 9.22;шорт;1127,00;1;1093,00;hans;0,5;6,3;428,61;167152,66
06.07.2022;RTSM 9.22;шорт;1138,00;1;1093,00;hans;0,5;6,3;567,28;167719,94
11.07.2022;SI 9.22;шорт;63047,00;1;57920,00;hans;1;1;5127;172846,94
11.07.2022;RTSM 9.22;шорт;1112,00;1;1068,00;take;0,5;6,3;554,68;173401,62
12.07.2022;RTSM 9.22;лонг;1120,00;1;1068,00;stop;0,5;6,3;-655,53;172746,09
13.07.2022;RTSM 9.22;лонг;1088,00;1;1068,00;stop;0,5;6,3;-252,13;172493,96
13.07.2022;RTSM 9.22;лонг;1095,00;1;1068,00;stop;0,5;6,3;-340,37;172153,59
13.07.2022;SI 9.22;шорт;60400,00;1;57920,00;take;1;1;2480;174633,59
13.07.2022;SI 9.22;шорт;60676,00;1;57012,00;take;1;1;3664;178297,59
13.07.2022;SI 9.22;шорт;60885,00;1;56100,00;take;1;1;4785;183082,59
18.07.2022;RTSM 9.22;лонг;1144,50;1;1095,50;stop;0,5;6,3;-617,71;182464,88
18.07.2022;RTSM 9.22;лонг;1151,50;1;1095,50;stop;0,5;6,3;-705,95;181758,93
